,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,36.0,251.0,251.0,9036.0,7.0
1,2.1254568099975586,,,,,,,,,,,,,,,,,
2,,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:249)len=249,0.4348418712615967,1.3351342678070068,0.3593463897705078,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:249)len=249,0.0,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:249)len=249,0.0,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:249)len=249,,,,,
4,,,,,,7.956692117979653e-08,0.0,3.5053624435758254e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:248)len=248,3.425795522396029e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:247)len=247,3.5053624435758254e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:248)len=248,,,,,
5,,,,,,4.3684899230458886e-07,0.0,3.862644514700618e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:249)len=248,3.425795522396029e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:248)len=248,3.862644514700618e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:249)len=248,,,,,
6,,,,,,2.274038513096637e-06,0.0,4.189713418910793e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:247)len=247,6.4637519320074306e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:248)len=247,4.189713418910793e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:247)len=247,,,,,
7,,,,,,9.191098790074727e-07,0.0,7.382861811014903e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:248)len=247,6.4637519320074306e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:249)len=248,7.382861811014903e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:248)len=247,,,,,
8,,,,,,1.8465294420671586e-06,5.219972618753717e-07,8.076428645628204e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:247)len=246,9.922958087695362e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:246)len=245,8.598425907503575e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:249)len=250,,,,,
9,,,,,,1.324532180191787e-06,3.5155894786439534e-06,8.598425907503575e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:249)len=250,9.922958087695362e-06,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:247)len=246,1.2114015386147529e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:248)len=249,,,,,
10,,,,,,2.235865977880177e-06,7.002952448867512e-07,1.2114015386147529e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:248)len=249,1.4349881364027706e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:249)len=250,1.281431063103428e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:247)len=248,,,,,
11,,,,,,1.535570732993426e-06,9.12414039108876e-06,1.281431063103428e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:247)len=248,1.4349881364027706e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:250)len=251,2.193845102212304e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:250)len=250,,,,,
12,,,,,,4.126116129519335e-06,3.898941314916326e-06,2.193845102212304e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:250)len=250,1.7812334892603705e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:248)len=249,2.5837392337039366e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:250)len=249,,,,,
13,,,,,,2.3231485629854108e-05,4.638410838727996e-06,2.5837392337039366e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:250)len=249,4.9068877966893474e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (1:250)len=250,3.0475803175767362e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:250)len=251,,,,,
14,,,,,,2.519979694472712e-05,3.779877000805876e-05,3.0475803175767362e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:250)len=251,5.567560012049448e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (2:250)len=249,6.827457318382612e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (3:249)len=247,,,,,
15,,,,,,4.6131468367450085e-05,2.097777553085583e-05,6.827457318382612e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (3:249)len=247,0.0001144060415512762,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (3:247)len=245,8.925234871468195e-05,(cd12aa4d-957b-4e11-8515-442a0e148b90)_(0): (0:246)len=247,,,,,
