,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,30.0,128.0,128.0,3840.0,6.0
1,2.078958749771118,,,,,,,,,,,,,,,,,
2,,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:127)len=127,0.15345025062561035,0.3431968688964844,0.3656322956085205,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:127)len=127,0.0,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:127)len=127,0.0,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:127)len=127,,,,,
4,,,,,,2.647021620866264e-06,0.0,1.8812565834490615e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:126)len=126,4.528278204315325e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:126)len=125,1.8812565834490615e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:126)len=126,,,,,
5,,,,,,1.8256299479848349e-06,0.0,2.7026482563304905e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:127)len=126,4.528278204315325e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:127)len=126,2.7026482563304905e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:127)len=126,,,,,
6,,,,,,6.655870983062037e-08,0.0,4.602094938350106e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:126)len=125,4.668653648180727e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:125)len=125,4.602094938350106e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:126)len=125,,,,,
7,,,,,,9.219617311512269e-06,0.0,1.3888270959692995e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (3:127)len=125,4.668653648180727e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:126)len=126,1.3888270959692995e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (3:127)len=125,,,,,
8,,,,,,6.581604660739288e-06,0.0,1.583984939225198e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (3:126)len=124,9.258244731512692e-06,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:125)len=124,1.583984939225198e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (3:126)len=124,,,,,
9,,,,,,2.3879712073384814e-05,0.0,3.797904609088968e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (0:127)len=128,1.4099334017504868e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:124)len=124,3.797904609088968e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (0:127)len=128,,,,,
10,,,,,,2.585577528963353e-05,0.0,4.00024199558641e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (0:126)len=127,1.4146644666230568e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:121)len=120,4.00024199558641e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (0:126)len=127,,,,,
11,,,,,,3.0576570122947536e-05,0.0,4.472321478917811e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:125)len=125,1.4146644666230568e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:122)len=121,4.472321478917811e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:125)len=125,,,,,
12,,,,,,3.1065957739619994e-05,0.0,4.762557822997808e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:125)len=124,1.655962049035808e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (1:122)len=122,4.762557822997808e-05,(3ed38154-bf1b-4ece-b4e4-41cc2384815d)_(3): (2:125)len=124,,,,,
