,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,30.0,470.0,470.0,14100.0,6.0
1,2.1176788806915283,,,,,,,,,,,,,,,,,
2,,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (0:469)len=470,0.9241893291473389,6.2602880001068115,0.3855741024017334,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (0:469)len=470,0.0,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (0:469)len=470,0.0,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (0:469)len=470,,,,,
4,,,,,,2.4413033938207424e-07,0.0,3.655462262556059e-07,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (1:469)len=469,6.096765656376801e-07,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (1:469)len=469,3.655462262556059e-07,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (1:469)len=469,,,,,
5,,,,,,2.2587502712535686e-06,0.0,3.987779775689996e-07,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (0:468)len=469,2.6575282488225685e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (3:467)len=465,3.987779775689996e-07,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (0:468)len=469,,,,,
6,,,,,,1.8923892004309857e-06,0.0,7.651390483915827e-07,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (1:468)len=468,2.6575282488225685e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (3:468)len=466,7.651390483915827e-07,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (1:468)len=468,,,,,
7,,,,,,2.2410491153188e-06,0.0,1.2075900469999652e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (0:465)len=466,3.4486391623187655e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (2:468)len=467,1.2075900469999652e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (0:465)len=466,,,,,
8,,,,,,2.012921441849466e-06,1.5543079128399725e-07,1.4357177204692994e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (0:466)len=467,3.4486391623187655e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (2:469)len=468,1.2802869291853022e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (0:466)len=467,,,,,
9,,,,,,2.0145469868250435e-06,1.512185042519522e-08,1.575991647535809e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (1:465)len=465,3.5905386343608525e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (3:469)len=467,1.5911134979610042e-06,(742a816c-0388-4fd0-bc86-ab44bbcf2ddf)_(5): (3:469)len=467,,,,,
