,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,20.0,512.0,512.0,10240.0,4.0
1,2.176744222640991,,,,,,,,,,,,,,,,,
2,,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:511)len=509,1.1200695037841797,6.609519720077515,0.35782408714294434,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:511)len=509,0.0,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:511)len=509,0.0,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:511)len=509,,,,,
4,,,,,,2.271413518953921e-06,0.0,2.2521280910597606e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:510)len=508,2.4792694429551527e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:509)len=507,2.2521280910597606e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:510)len=508,,,,,
5,,,,,,1.767998655429309e-06,0.0,2.3024695774122218e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (4:511)len=508,2.4792694429551527e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:510)len=508,2.3024695774122218e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (4:511)len=508,,,,,
6,,,,,,7.484531256783009e-06,0.0,3.096557646453439e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (2:511)len=510,3.84501077213174e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (4:510)len=507,3.096557646453439e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (2:511)len=510,,,,,
7,,,,,,7.1406976806117926e-06,0.0,4.559080540192919e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (4:510)len=507,3.84501077213174e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (4:511)len=508,4.559080540192919e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (4:510)len=507,,,,,
8,,,,,,1.8520714814642094e-06,0.0,5.349515236094137e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (2:510)len=509,5.164308087947716e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (2:511)len=510,5.349515236094137e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (2:510)len=509,,,,,
9,,,,,,3.883694596867535e-06,0.0,6.723051451443197e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:509)len=507,6.334681991756444e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (4:508)len=505,6.723051451443197e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:509)len=507,,,,,
10,,,,,,5.419922515538593e-06,0.0,6.876674243310303e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (5:511)len=507,6.334681991756444e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (4:509)len=506,6.876674243310303e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (5:511)len=507,,,,,
11,,,,,,5.594526311082282e-06,0.0,8.207431864707807e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (1:511)len=511,7.647979233599579e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (2:510)len=509,8.207431864707807e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (1:511)len=511,,,,,
12,,,,,,1.361075973066709e-05,7.824064093277857e-06,9.036681610733515e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (4:509)len=506,7.675605637666806e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:507)len=505,9.8190880200613e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (2:509)len=508,,,,,
13,,,,,,1.4644094360386574e-05,1.323179009326666e-05,9.140015073705463e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (5:510)len=506,7.675605637666806e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:508)len=506,0.00010463194083032129,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (1:510)len=510,,,,,
14,,,,,,1.6721965707335487e-05,4.8333699517565766e-05,9.8190880200613e-05,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (2:509)len=508,0.00011491284590794849,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (5:509)len=505,0.00014652457971817877,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (2:508)len=507,,,,,
15,,,,,,1.02809050776272e-05,4.4702055011213595e-05,0.00010463194083032129,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (1:510)len=510,0.00011491284590794849,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (5:510)len=506,0.0001493339958415349,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (1:509)len=509,,,,,
16,,,,,,1.2202603831115212e-07,5.305871326799022e-05,0.00011558133061705328,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:508)len=506,0.00011545930457874213,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (4:507)len=504,0.0001686400438850435,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (0:510)len=511,,,,,
17,,,,,,9.935455066204072e-06,6.140496170038725e-05,0.000136265496113112,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (5:509)len=505,0.00012633004104690792,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (3:506)len=504,0.00019767045781349924,(099b8b27-cfd2-4b26-ace9-45af172fd3a9)_(2): (1:508)len=508,,,,,
