,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,60.0,577.0,577.0,34620.0,12.0
1,2.3841190338134766,,,,,,,,,,,,,,,,,
2,,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:576)len=577,2.5335190296173096,17.860849618911743,0.402416467666626,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:575)len=576,0.0,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:576)len=577,0.0,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:575)len=576,,,,,
4,,,,,,1.0686477163519806e-05,0.0,0.0,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:576)len=577,1.0686477163519806e-05,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:574)len=575,0.0,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:576)len=577,,,,,
5,,,,,,1.01928169610635e-05,0.0,4.936602024563055e-07,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:574)len=575,1.0686477163519806e-05,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:575)len=576,4.936602024563055e-07,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:574)len=575,,,,,
6,,,,,,4.619528616153931e-06,0.0,6.909294964853606e-06,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (1:576)len=576,1.1528823581007537e-05,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (1:575)len=575,6.909294964853606e-06,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (1:576)len=576,,,,,
7,,,,,,4.613530964274717e-06,0.0,6.91529261673282e-06,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (1:575)len=575,1.1528823581007537e-05,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (1:576)len=576,6.91529261673282e-06,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (1:575)len=575,,,,,
8,,,,,,1.4832107043070384e-05,0.0,7.415389789492504e-06,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (1:574)len=574,2.224749683256289e-05,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (1:574)len=574,7.415389789492504e-06,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (1:574)len=574,,,,,
9,,,,,,1.308862204831205e-05,0.0,1.2693945557275402e-05,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:573)len=574,2.578256760558745e-05,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:573)len=574,1.2693945557275402e-05,(6aee7ef8-1adb-49a3-98d8-5d2dd964e114)_(1): (0:573)len=574,,,,,
