,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,16.0,345.0,345.0,5520.0,3.0
1,2.0550100803375244,,,,,,,,,,,,,,,,,
2,,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (0:344)len=345,0.4371042251586914,2.690239667892456,0.39694976806640625,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (0:343)len=344,0.0,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (0:344)len=345,0.0,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (0:343)len=344,,,,,
4,,,,,,2.1457668727648535e-07,0.0,0.0,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (0:344)len=345,2.1457668727648535e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (1:344)len=344,0.0,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (0:344)len=345,,,,,
5,,,,,,8.647606493552354e-08,0.0,1.2862143954308918e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (1:344)len=344,2.1509750447861272e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (2:343)len=342,1.2862143954308918e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (1:344)len=344,,,,,
6,,,,,,8.62891151687458e-08,0.0,1.2880838930986692e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (1:343)len=343,2.1509750447861272e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (2:344)len=343,1.2880838930986692e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (1:343)len=343,,,,,
7,,,,,,2.2843649319351835e-05,0.0,1.2880838930986692e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (2:344)len=343,2.2972457708661702e-05,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (0:343)len=344,1.2880838930986692e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (2:344)len=343,,,,,
8,,,,,,2.3114317722310737e-05,0.0,1.289958833263296e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (2:343)len=342,2.3243313605637065e-05,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (1:342)len=342,1.289958833263296e-07,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (2:343)len=342,,,,,
9,,,,,,2.1475273407867998e-05,0.0,1.768040197769069e-06,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (0:342)len=343,2.3243313605637065e-05,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (1:343)len=343,1.768040197769069e-06,(69f56ddd-fb42-439b-a409-5a1466af7d8f)_(2): (0:342)len=343,,,,,
