,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,23.0,136.0,136.0,3128.0,4.0
1,2.0466160774230957,,,,,,,,,,,,,,,,,
2,,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:134)len=134,0.15390372276306152,0.34708261489868164,0.3740262985229492,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:134)len=134,0.0,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:134)len=134,0.0,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:134)len=134,,,,,
4,,,,,,4.71507280652396e-06,0.0,3.840435901212583e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:135)len=135,8.555508707736543e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:135)len=135,3.840435901212583e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:135)len=135,,,,,
5,,,,,,4.686302878116384e-06,0.0,3.869206350158224e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:133)len=133,8.555509228274608e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (0:134)len=135,3.869206350158224e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:133)len=133,,,,,
6,,,,,,4.6717569895819545e-06,0.0,3.883752238692653e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:132)len=132,8.555509228274608e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (0:135)len=136,3.883752238692653e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (1:132)len=132,,,,,
7,,,,,,7.874105745303486e-06,0.0,5.120583590156921e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (0:134)len=135,1.2994689335460407e-05,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (2:133)len=132,5.120583590156921e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (0:134)len=135,,,,,
8,,,,,,5.256278832321063e-06,0.0,7.738410503139344e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (2:134)len=133,1.2994689335460407e-05,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (2:134)len=133,7.738410503139344e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (2:134)len=133,,,,,
9,,,,,,5.3094319327240435e-06,0.0,7.767502271948137e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (3:134)len=132,1.3076934204672181e-05,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (3:132)len=130,7.767502271948137e-06,(a55ad7d7-46c6-4232-beb8-982fd97f94cc)_(1): (3:134)len=132,,,,,
