,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,150.0,301.0,301.0,45150.0,30.0
1,2.3323280811309814,,,,,,,,,,,,,,,,,
2,,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:300)len=301,1.5266408920288086,8.708837747573853,0.3666398525238037,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:300)len=301,0.0,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:299)len=300,0.0,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:300)len=301,,,,,
4,,,,,,2.535077640940242e-08,0.0,2.535077640940242e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (2:300)len=299,0.0,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:300)len=301,2.535077640940242e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (2:300)len=299,,,,,
5,,,,,,4.2813637470590815e-10,0.0,3.228394719120274e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:299)len=300,3.2712083565908647e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:298)len=299,3.228394719120274e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:299)len=300,,,,,
6,,,,,,1.0149580994506863e-08,0.0,3.233775376985474e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:298)len=299,4.24873347643616e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (2:298)len=297,3.233775376985474e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:298)len=299,,,,,
7,,,,,,9.104626392237123e-09,5.396608826402655e-07,5.1591961156598724e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:297)len=298,4.24873347643616e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (2:299)len=298,5.912528437968642e-07,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (1:300)len=300,,,,,
8,,,,,,1.7716853201829888e-08,5.667911807300516e-07,5.778483824299549e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (2:299)len=298,7.550169144482537e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (2:296)len=295,6.24576018973047e-07,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (1:299)len=299,,,,,
9,,,,,,1.7620223037543945e-08,0.0006190628251554967,5.788146840728143e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (2:298)len=297,7.550169144482537e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (2:297)len=296,0.000619120706623904,(d86e81a2-ae57-4f9e-8a62-29d150b83cb2)_(2): (1:299)len=299,,,,,
10,,,,,,1.7709101124723053e-08,0.0006191199795388164,5.818631304789739e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:295)len=296,7.589541417262044e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (2:300)len=299,0.0006191781658518643,(d86e81a2-ae57-4f9e-8a62-29d150b83cb2)_(2): (2:299)len=298,,,,,
11,,,,,,2.7386411462387715e-08,0.0006194186731822975,7.688667576098809e-08,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:294)len=295,1.042730872233758e-07,(5b10c1e5-07ba-4547-a87f-977cfd5d6ec8)_(2): (0:296)len=297,0.0006194955598580585,(d86e81a2-ae57-4f9e-8a62-29d150b83cb2)_(2): (1:300)len=300,,,,,
