,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,28.0,301.0,301.0,8428.0,5.0
1,2.478740692138672,,,,,,,,,,,,,,,,,
2,,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:300)len=301,0.3657877445220947,1.9976470470428467,0.3871886730194092,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:300)len=301,0.0,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:299)len=300,0.0,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:300)len=301,,,,,
4,,,,,,1.569002685664067e-05,0.0,1.569002685664067e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:298)len=299,0.0,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:300)len=301,1.569002685664067e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:298)len=299,,,,,
5,,,,,,4.422232700362905e-06,0.0,2.4041611832670284e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:296)len=297,1.961937913230738e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:298)len=299,2.4041611832670284e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:296)len=297,,,,,
6,,,,,,1.9715216992843843e-06,0.0,2.4041611832670284e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:297)len=298,2.601313353195467e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (3:292)len=290,2.4041611832670284e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (0:297)len=298,,,,,
7,,,,,,0.0,0.0,2.601313353195467e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (3:296)len=294,2.601313353195467e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (3:293)len=291,2.601313353195467e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (3:300)len=298,,,,,
8,,,,,,0.0,3.806132169548171e-06,2.601313353195467e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (3:297)len=295,2.601313353195467e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (3:296)len=294,2.981926570150284e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (2:300)len=299,,,,,
9,,,,,,0.0,3.806132169548171e-06,2.601313353195467e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (3:298)len=296,2.601313353195467e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (3:297)len=295,2.981926570150284e-05,(13ee6d57-15d2-41a5-aa26-0fd592e56797)_(2): (2:298)len=297,,,,,
