,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,28.0,301.0,301.0,8428.0,5.0
1,2.120556354522705,,,,,,,,,,,,,,,,,
2,,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:300)len=301,0.4874286651611328,1.913924217224121,0.3772873878479004,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:300)len=301,0.0,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:299)len=300,0.0,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:300)len=301,,,,,
4,,,,,,5.130184491981759e-08,0.0,5.130184491981759e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:299)len=300,0.0,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:300)len=301,5.130184491981759e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:299)len=300,,,,,
5,,,,,,3.2627331538045653e-09,0.0,5.1387347994683956e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:298)len=299,5.465008114848852e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:298)len=299,5.1387347994683956e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:298)len=299,,,,,
6,,,,,,3.510441505649232e-08,0.0,5.207638431934192e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:300)len=300,8.718079937583424e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:299)len=299,5.207638431934192e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:300)len=300,,,,,
7,,,,,,4.4085898304142985e-08,0.0,7.272980484918738e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:297)len=298,1.1681570315333037e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:300)len=300,7.272980484918738e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:297)len=298,,,,,
8,,,,,,6.122506141719665e-08,0.0,8.10019947510488e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:296)len=297,1.4222705616824545e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:297)len=297,8.10019947510488e-08,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:296)len=297,,,,,
9,,,,,,3.8676529880354e-08,0.0,1.0355052628789145e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:299)len=299,1.4222705616824545e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:298)len=298,1.0355052628789145e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:299)len=299,,,,,
10,,,,,,7.905500977529538e-08,0.0,1.0372339861892299e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:298)len=298,1.8277840839421837e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:294)len=295,1.0372339861892299e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:298)len=298,,,,,
11,,,,,,5.758934471430575e-08,0.0,1.2518906367991262e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:297)len=297,1.8277840839421837e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:295)len=296,1.2518906367991262e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:297)len=297,,,,,
12,,,,,,9.045310664839354e-08,0.0,1.3343702096477892e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (3:300)len=298,2.2389012761317246e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (3:297)len=295,1.3343702096477892e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (3:300)len=298,,,,,
13,,,,,,9.032714631157836e-08,1.7997749329956195e-08,1.335629813015941e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (1:296)len=296,2.2389012761317246e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (3:298)len=296,1.515607306315503e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (2:300)len=299,,,,,
14,,,,,,1.017479892488324e-07,3.3658641199073355e-08,1.515607306315503e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (2:300)len=299,2.533087198803827e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (3:299)len=297,1.8521937183062365e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (3:299)len=297,,,,,
15,,,,,,9.681253437127562e-08,4.679070460064342e-08,1.5649618550910707e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:295)len=296,2.533087198803827e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (3:300)len=298,2.032868901097505e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (2:299)len=298,,,,,
16,,,,,,7.051459599876612e-08,2.0129033034298318e-08,1.8349780170774273e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (0:294)len=295,2.5401239770650885e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (2:298)len=297,2.0362683474204105e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (2:298)len=297,,,,,
17,,,,,,6.87930258758852e-08,6.86845631018036e-08,1.8521937183062365e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (3:299)len=297,2.5401239770650885e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (2:299)len=298,2.5390393493242726e-07,(d2d0ba68-cf09-4b2b-932e-59b082cc8d20)_(2): (4:300)len=297,,,,,
