,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,135.0,150.0,150.0,20250.0,27.0
1,2.2063262462615967,,,,,,,,,,,,,,,,,
2,,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:149)len=150,0.3092329502105713,1.0442519187927246,0.35706448554992676,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:149)len=150,0.0,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:149)len=150,0.0,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:149)len=150,,,,,
4,,,,,,2.2036035583930712e-07,0.0,3.287041974602999e-07,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (1:149)len=149,5.49064553299607e-07,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (1:149)len=149,3.287041974602999e-07,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (1:149)len=149,,,,,
5,,,,,,8.2877814959877e-07,0.0,1.2293542552381753e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (2:149)len=148,2.0581324048369453e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (2:148)len=147,1.2293542552381753e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (2:149)len=148,,,,,
6,,,,,,5.086921263209758e-07,0.0,1.5494402785159694e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:148)len=149,2.0581324048369453e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (2:149)len=148,1.5494402785159694e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:148)len=149,,,,,
7,,,,,,4.2532810367528067e-07,0.0,1.8844469742178004e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (1:148)len=148,2.309775077893081e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:148)len=149,1.8844469742178004e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (1:148)len=148,,,,,
8,,,,,,5.749382411537461e-07,0.0,2.299962286843395e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (3:149)len=147,2.8749005279971413e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (1:147)len=147,2.299962286843395e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (3:149)len=147,,,,,
9,,,,,,8.153281305690188e-08,0.0,2.7933677149402394e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (2:148)len=147,2.8749005279971413e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (1:148)len=148,2.7933677149402394e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (2:148)len=147,,,,,
10,,,,,,1.3617742326968641e-08,1.2873942132190739e-06,3.872876494826903e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (3:148)len=146,3.859258752499934e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (3:147)len=145,5.1602707080459765e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:147)len=148,,,,,
11,,,,,,6.089211798252634e-07,1.0403831183089123e-06,4.4681799323251974e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (4:149)len=146,3.859258752499934e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (3:148)len=146,5.50856305063411e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (1:147)len=147,,,,,
12,,,,,,7.546362051994359e-07,4.108596580011318e-06,5.1602707080459765e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:147)len=148,4.405634502846541e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (2:146)len=145,9.268867288057294e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:146)len=147,,,,,
13,,,,,,1.102928547787569e-06,0.0024668503310427987,5.50856305063411e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (1:147)len=147,4.405634502846541e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (2:147)len=146,0.002472358894093433,(272a44f1-1ebb-4411-b088-cf2d7e61aa34)_(2): (3:149)len=147,,,,,
14,,,,,,1.0968268177883086e-06,0.002490313134573241,6.053775943201808e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (4:148)len=145,4.9569491254135e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (3:149)len=147,0.002496366910516443,(272a44f1-1ebb-4411-b088-cf2d7e61aa34)_(2): (2:148)len=147,,,,,
15,,,,,,2.0246550188620343e-07,0.0024911481953142265,6.432798104927964e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (2:147)len=146,6.2303326030417605e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (3:146)len=144,0.0024975809934191543,(272a44f1-1ebb-4411-b088-cf2d7e61aa34)_(2): (2:149)len=148,,,,,
16,,,,,,8.44050954445042e-08,0.002519572668150832,7.5283032887803025e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (3:147)len=145,7.443898193335798e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:146)len=147,0.0025271009714396124,(272a44f1-1ebb-4411-b088-cf2d7e61aa34)_(2): (1:148)len=148,,,,,
17,,,,,,9.878855686329789e-07,0.0025197764206010046,8.431783761968777e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (5:149)len=145,7.443898193335798e-06,(c3e97729-3f0a-41b6-b009-43d5cba284e5)_(2): (0:147)len=148,0.0025282082043629733,(272a44f1-1ebb-4411-b088-cf2d7e61aa34)_(2): (1:149)len=149,,,,,
18,,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (9:147)len=139,0.3092617988586426,0.9382474422454834,0.2503237724304199,,,,,,,,,,,,,
19,,,,,,0.0,0.0,0.0,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (9:147)len=139,0.0,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (9:147)len=139,0.0,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (9:147)len=139,,,,,
20,,,,,,1.0382637373686741e-07,0.0,1.5481253941122197e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (8:147)len=140,2.586389131480894e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (8:147)len=140,1.5481253941122197e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (8:147)len=140,,,,,
21,,,,,,5.420548689267528e-08,0.0,2.044334262554141e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (10:147)len=138,2.586389131480894e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (8:148)len=141,2.044334262554141e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (10:147)len=138,,,,,
22,,,,,,2.579118569514986e-08,3.245644164195727e-07,3.6899154371181473e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (7:147)len=141,3.432003580166649e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (10:146)len=137,6.935559601313874e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (9:146)len=138,,,,,
23,,,,,,2.015952108044266e-07,3.016350047477044e-07,5.447955688210915e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (6:147)len=142,3.432003580166649e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (10:147)len=138,8.464305735687959e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (8:146)len=139,,,,,
24,,,,,,7.857005394502955e-08,3.653423667349297e-07,6.935559601313874e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (9:146)len=138,6.149859061863579e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (7:148)len=142,1.0588983268663171e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (7:146)len=140,,,,,
25,,,,,,2.3144466738243797e-07,3.5700343429470213e-07,8.464305735687959e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (8:146)len=139,6.149859061863579e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (7:149)len=143,1.203434007863498e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (9:148)len=140,,,,,
26,,,,,,4.600548635692302e-09,5.102179902707965e-07,9.012429711200871e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (10:146)len=137,9.058435197557794e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (6:149)len=144,1.4114609613908836e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (10:148)len=139,,,,,
27,,,,,,6.139410094586514e-07,1.7384188609038377e-06,9.318747464997386e-07,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (5:147)len=143,1.54581575595839e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (5:149)len=145,2.6702936074035763e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (8:145)len=138,,,,,
28,,,,,,3.4670039520662875e-06,1.818066647933567e-06,1.0588983268663171e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (7:146)len=140,4.525902278932605e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (11:145)len=135,2.876964974799884e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (7:145)len=139,,,,,
29,,,,,,3.3224682710691066e-06,1.8416060838705034e-06,1.203434007863498e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (9:148)len=140,4.525902278932605e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (11:146)len=136,3.0450400917340014e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (6:145)len=140,,,,,
30,,,,,,0.0001564878623210562,2.6588523644614895e-06,1.232866270696861e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (6:146)len=141,0.00015772072859175304,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (4:148)len=145,3.8917186351583506e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (11:148)len=138,,,,,
31,,,,,,0.0001563673329250043,2.986493865965135e-06,1.3533956667487388e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (8:148)len=141,0.00015772072859175304,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (4:149)len=146,4.339889532713874e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (10:149)len=140,,,,,
32,,,,,,0.00015633318650085608,5.410298370621233e-06,1.4114609613908836e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (10:148)len=139,0.00015774464746224696,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (5:148)len=144,6.821759332012117e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (11:149)len=139,,,,,
33,,,,,,0.00015655900556020875,9.843316781004264e-06,1.4716152579194481e-06,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (4:147)len=144,0.0001580306208181282,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (6:147)len=142,1.1314932038923712e-05,(68e91839-3200-4c6c-a04b-05818ac0229e)_(1): (7:144)len=138,,,,,
34,,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (0:149)len=150,0.3113553524017334,0.9443583488464355,0.23949384689331055,,,,,,,,,,,,,
35,,,,,,0.0,0.0,0.0,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (0:149)len=150,0.0,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (0:149)len=150,0.0,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (0:149)len=150,,,,,
36,,,,,,9.827005379884928e-07,0.0,4.5080485908335696e-08,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (0:148)len=149,1.0277810238968285e-06,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (1:149)len=149,4.5080485908335696e-08,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (0:148)len=149,,,,,
37,,,,,,4.1826141814628163e-07,0.0,6.152936564465963e-07,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (1:149)len=149,1.033555074592878e-06,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (2:148)len=147,6.152936564465963e-07,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (1:149)len=149,,,,,
38,,,,,,4.161966743327025e-07,0.0,6.173584002601755e-07,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (2:149)len=148,1.033555074592878e-06,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (2:149)len=148,6.173584002601755e-07,(5bd451ce-e6cc-4096-819e-c1ef4bab45d9)_(1): (2:149)len=148,,,,,
