,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,136.0,150.0,150.0,20400.0,27.0
1,2.1641297340393066,,,,,,,,,,,,,,,,,
2,,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (0:149)len=150,0.3072514533996582,0.9600224494934082,0.3482046127319336,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (0:149)len=150,0.0,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (0:149)len=150,0.0,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (0:149)len=150,,,,,
4,,,,,,8.675655718820268e-07,0.0,2.3216025346819778e-07,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (0:148)len=149,1.0997258253502246e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (1:149)len=149,2.3216025346819778e-07,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (0:148)len=149,,,,,
5,,,,,,2.4136370363834918e-06,0.0,6.583642900926095e-07,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (1:149)len=149,3.072001326476101e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (2:148)len=147,6.583642900926095e-07,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (1:149)len=149,,,,,
6,,,,,,2.1784884455207947e-06,0.0,8.935128809553066e-07,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (1:148)len=148,3.072001326476101e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (2:149)len=148,8.935128809553066e-07,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (1:148)len=148,,,,,
7,,,,,,4.523315756598342e-06,0.0,1.1147664135319574e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (0:147)len=148,5.638082170130299e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (3:147)len=145,1.1147664135319574e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (0:147)len=148,,,,,
8,,,,,,3.856764614675034e-06,0.0,1.7813175554552644e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (1:147)len=147,5.638082170130299e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (3:148)len=146,1.7813175554552644e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (1:147)len=147,,,,,
9,,,,,,6.835186607657707e-06,0.0,1.8349538124588792e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (2:149)len=148,8.670140420116586e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (4:147)len=144,1.8349538124588792e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (2:149)len=148,,,,,
10,,,,,,1.3624165821579373e-05,0.0,2.074855730302145e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (2:148)len=147,1.569902155188152e-05,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (5:146)len=142,2.074855730302145e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (2:148)len=147,,,,,
11,,,,,,1.2729370783823176e-05,3.9041840403951277e-07,2.969650768058342e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (2:147)len=146,1.569902155188152e-05,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (5:147)len=143,3.360069172097855e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (3:149)len=147,,,,,
12,,,,,,1.9064728378404773e-05,1.2572945176228972e-06,3.360069172097855e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (3:149)len=147,2.2424797550502627e-05,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (6:145)len=140,4.617363689720752e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (0:146)len=147,,,,,
13,,,,,,1.8818863564353796e-05,0.003868934243208434,3.605933986148831e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (3:148)len=146,2.2424797550502627e-05,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (6:146)len=141,0.0038725401771945826,(08630852-3ce2-450c-b758-9447de2f9cea)_(2): (0:149)len=150,,,,,
14,,,,,,2.4984786573005917e-05,0.0038742996390444422,4.508952323205377e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (3:147)len=145,2.9493738896211293e-05,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (7:145)len=139,0.0038788085913676476,(08630852-3ce2-450c-b758-9447de2f9cea)_(2): (0:148)len=149,,,,,
15,,,,,,3.401002244920279e-05,0.0038818252742132786,4.617363689720752e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (0:146)len=147,3.8627386138923545e-05,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (8:144)len=137,0.0038864426379029995,(08630852-3ce2-450c-b758-9447de2f9cea)_(2): (0:147)len=148,,,,,
16,,,,,,3.347216751074611e-05,0.003890154789871589,5.155218628177429e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (4:149)len=146,3.8627386138923545e-05,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (8:145)len=138,0.0038953100084997663,(08630852-3ce2-450c-b758-9447de2f9cea)_(2): (0:146)len=147,,,,,
17,,,,,,5.6355335210626656e-05,0.003966267764396249,5.297999792516059e-06,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (1:146)len=146,6.165333500314271e-05,(13d29dcd-dd61-4b9b-9643-28e41d27288c)_(2): (9:143)len=135,0.003971565764188765,(08630852-3ce2-450c-b758-9447de2f9cea)_(2): (1:149)len=149,,,,,
18,,(004c502b-c5f3-488b-819d-a1f8754cf3b2)_(1): (9:147)len=139,0.31673312187194824,0.9261658191680908,0.25237345695495605,,,,,,,,,,,,,
19,,,,,,0.0,0.0,0.0,(004c502b-c5f3-488b-819d-a1f8754cf3b2)_(1): (9:147)len=139,0.0,(004c502b-c5f3-488b-819d-a1f8754cf3b2)_(1): (9:147)len=139,0.0,(004c502b-c5f3-488b-819d-a1f8754cf3b2)_(1): (9:147)len=139,,,,,
20,,,,,,2.5783654351237943e-07,0.0,3.7984847928163035e-07,(004c502b-c5f3-488b-819d-a1f8754cf3b2)_(1): (10:147)len=138,6.376850227940098e-07,(004c502b-c5f3-488b-819d-a1f8754cf3b2)_(1): (10:146)len=137,3.7984847928163035e-07,(004c502b-c5f3-488b-819d-a1f8754cf3b2)_(1): (10:147)len=138,,,,,
21,,,,,,2.5646028090628657e-07,2.083003141035354e-06,3.812247418877232e-07,(004c502b-c5f3-488b-819d-a1f8754cf3b2)_(1): (11:147)len=137,6.376850227940098e-07,(004c502b-c5f3-488b-819d-a1f8754cf3b2)_(1): (10:147)len=138,2.4642278829230772e-06,(004c502b-c5f3-488b-819d-a1f8754cf3b2)_(1): (9:146)len=138,,,,,
