,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,50.0,150.0,150.0,7500.0,10.0
1,2.123581886291504,,,,,,,,,,,,,,,,,
2,,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:149)len=150,0.23682904243469238,0.47479748725891113,0.35672998428344727,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:149)len=150,0.0,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:149)len=150,0.0,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:149)len=150,,,,,
4,,,,,,2.9642686250259626e-05,0.0,3.4163959221964795e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:148)len=149,6.380664547222442e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (1:149)len=149,3.4163959221964795e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:148)len=149,,,,,
5,,,,,,4.900073364822427e-05,0.0,4.936928462831786e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (1:149)len=149,9.837001827654213e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (3:147)len=145,4.936928462831786e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (1:149)len=149,,,,,
6,,,,,,4.208704482676464e-05,0.0,5.6282973449777486e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:147)len=148,9.837001827654213e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (3:148)len=146,5.6282973449777486e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:147)len=148,,,,,
7,,,,,,4.626112054555152e-05,0.0,6.013815777011897e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (1:148)len=148,0.00010639927831567049,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (5:146)len=142,6.013815777011897e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (1:148)len=148,,,,,
8,,,,,,3.949527012530182e-05,8.143831480300973e-06,6.690400819036867e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:144)len=145,0.00010639927831567049,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (5:147)len=143,7.504783967066964e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (1:147)len=147,,,,,
9,,,,,,4.4295965732744325e-05,8.922596133830823e-07,7.504783967066964e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (1:147)len=147,0.00011934380540341396,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (2:148)len=147,7.594009928405272e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (3:149)len=147,,,,,
10,,,,,,4.340370611936124e-05,4.534096850464031e-06,7.594009928405272e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (3:149)len=147,0.00011934380540341396,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (2:149)len=148,8.047419613451675e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:146)len=147,,,,,
11,,,,,,4.4137409572843984e-05,2.9846981931624483e-06,8.047419613451675e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:146)len=147,0.00012461160570736074,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (4:147)len=144,8.34588943276792e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (3:148)len=146,,,,,
12,,,,,,8.362757407824104e-05,1.0286700327006215e-05,8.194957367582749e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (5:149)len=145,0.00016557714775406853,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (9:143)len=135,9.22362740028337e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (2:149)len=148,,,,,
13,,,,,,8.211825342638933e-05,1.1198402500379052e-05,8.34588943276792e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (3:148)len=146,0.00016557714775406853,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (9:144)len=136,9.465729682805825e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (1:146)len=146,,,,,
14,,,,,,8.895503372427724e-05,1.1915040814191121e-05,8.348741636351689e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (1:144)len=144,0.00017244245008779413,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (8:144)len=137,9.540245717770801e-05,(4fe1dea9-026d-4a84-9c6b-78cae54752d4)_(1): (0:145)len=146,,,,,
