,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,50.0,150.0,150.0,7500.0,10.0
1,2.099365234375,,,,,,,,,,,,,,,,,
2,,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:149)len=150,0.18779349327087402,0.4554097652435303,0.3493330478668213,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:149)len=150,0.0,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:149)len=150,0.0,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:149)len=150,,,,,
4,,,,,,2.7933798223573976e-06,0.0,1.9757527753147978e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:148)len=149,4.769132597672195e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (1:149)len=149,1.9757527753147978e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:148)len=149,,,,,
5,,,,,,7.851660948718902e-06,0.0,2.855099448104759e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (1:149)len=149,1.0706760396823661e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (3:147)len=145,2.855099448104759e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (1:149)len=149,,,,,
6,,,,,,6.543783035348591e-06,0.0,4.1629773614750704e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:147)len=148,1.0706760396823661e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (3:148)len=146,4.1629773614750704e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:147)len=148,,,,,
7,,,,,,7.480533116593006e-06,0.0,4.847063136920964e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (1:148)len=148,1.232759625351397e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (2:148)len=147,4.847063136920964e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (1:148)len=148,,,,,
8,,,,,,5.946799653386738e-06,0.0,6.380796600127232e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (3:149)len=147,1.232759625351397e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (2:149)len=148,6.380796600127232e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (3:149)len=147,,,,,
9,,,,,,6.025932787859417e-06,0.0,7.051319827282472e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (1:147)len=147,1.3077252615141889e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (5:146)len=142,7.051319827282472e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (1:147)len=147,,,,,
10,,,,,,5.952861484929916e-06,0.0,7.124391130211973e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:146)len=147,1.3077252615141889e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (5:147)len=143,7.124391130211973e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:146)len=147,,,,,
11,,,,,,7.141984247435962e-06,0.0,7.363463533978143e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (2:149)len=148,1.4505447781414105e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (4:147)len=144,7.363463533978143e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (2:149)len=148,,,,,
12,,,,,,1.8882493183839572e-05,7.756837190374109e-07,7.622446923046754e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:144)len=145,2.6504940106886326e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (6:145)len=140,8.398130642084165e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (3:148)len=146,,,,,
13,,,,,,1.8747247877564864e-05,8.671686136815213e-07,7.75769222932146e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (5:149)len=145,2.6504940106886326e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (6:146)len=141,8.624860843002981e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (4:149)len=146,,,,,
14,,,,,,1.8589638099863795e-05,8.908409184636281e-07,8.398130642084165e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (3:148)len=146,2.698776874194796e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (8:144)len=137,9.288971560547793e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:145)len=146,,,,,
15,,,,,,1.836290789894498e-05,7.524530052953736e-07,8.624860843002981e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (4:149)len=146,2.698776874194796e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (8:145)len=138,9.377313848298355e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (2:148)len=147,,,,,
16,,,,,,1.986634127119161e-05,7.435247254531495e-07,9.288971560547793e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (0:145)len=146,2.9155312831739403e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (9:143)len=135,1.0032496286000942e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (1:146)len=146,,,,,
17,,,,,,1.9777998983441048e-05,2.2270084045565705e-06,9.377313848298355e-06,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (2:148)len=147,2.9155312831739403e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (9:144)len=136,1.1604322252854925e-05,(804052fc-bd0d-48d2-90e6-216590db3a9e)_(1): (2:147)len=146,,,,,
18,,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (9:147)len=139,0.18594074249267578,0.4331176280975342,0.24245119094848633,,,,,,,,,,,,,
19,,,,,,0.0,0.0,0.0,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (9:147)len=139,0.0,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (9:147)len=139,0.0,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (9:147)len=139,,,,,
20,,,,,,3.0086848217612125e-07,0.0,4.4324374606303574e-07,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (10:147)len=138,7.44112228239157e-07,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (10:146)len=137,4.4324374606303574e-07,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (10:147)len=138,,,,,
21,,,,,,1.0544420016965552e-07,7.24876241921063e-07,8.495564284088125e-07,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (11:147)len=137,7.44112228239157e-07,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (10:147)len=138,1.5744326703298755e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (8:147)len=140,,,,,
22,,,,,,1.4469136398333725e-07,1.7181228502640263e-08,1.5744326703298755e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (8:147)len=140,1.4297413063465383e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (11:145)len=135,1.5916138988325158e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (9:148)len=140,,,,,
23,,,,,,1.6187259248597752e-07,4.4737457395069573e-07,1.5916138988325158e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (9:148)len=140,1.4297413063465383e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (11:146)len=136,2.0389884727832115e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (10:148)len=139,,,,,
24,,,,,,5.913511381271794e-07,4.106066608453236e-07,2.0389884727832115e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (10:148)len=139,2.630339610910391e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (8:147)len=140,2.449595133628535e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (11:148)len=138,,,,,
25,,,,,,3.270450418876162e-07,1.1134371950577318e-06,2.3032945690227747e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (12:147)len=136,2.630339610910391e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (8:148)len=141,3.4167317640805065e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (9:146)len=138,,,,,
26,,,,,,2.8594478896921196e-06,2.2251578024907433e-06,2.449595133628535e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (11:148)len=138,5.309043023320655e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (7:148)len=142,4.674752936119278e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (10:149)len=140,,,,,
27,,,,,,2.1543037633338433e-06,1.8297981992661938e-06,3.1547392599868114e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (8:148)len=141,5.309043023320655e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (7:149)len=143,4.984537459253005e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (8:146)len=139,,,,,
28,,,,,,5.209864896278351e-06,1.907937947729369e-06,3.185425813992393e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (7:147)len=141,8.395290710270743e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (6:149)len=144,5.093363761721762e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (11:149)len=139,,,,,
29,,,,,,6.837289512527484e-06,2.2713180910131555e-06,3.4167317640805065e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (9:146)len=138,1.025402127660799e-05,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (5:149)len=145,5.688049855093662e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (8:145)len=138,,,,,
30,,,,,,6.955623968170673e-05,2.6779652735041914e-06,3.873960928658555e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (10:146)len=137,7.343020061036528e-05,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (9:145)len=137,6.551926202162746e-06,(da096b71-9d23-43db-acc0-45381a2344b9)_(2): (12:149)len=138,,,,,
