,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,109.0,431.0,431.0,46979.0,21.0
1,3.1952905654907227,,,,,,,,,,,,,,,,,
2,,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:430)len=431,2.5317697525024414,14.379139423370361,0.3611726760864258,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (1:430)len=430,0.0,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (1:429)len=429,0.0,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:430)len=431,,,,,
4,,,,,,0.0,0.0,0.0,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:430)len=431,0.0,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:429)len=430,0.0,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (1:430)len=430,,,,,
5,,,,,,2.1265008486306822e-05,0.0,2.1265008486306822e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (2:430)len=429,0.0,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:430)len=431,2.1265008486306822e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (2:430)len=429,,,,,
6,,,,,,2.3843704281470842e-05,0.0,2.7726145892633852e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:428)len=429,3.882441611163011e-06,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (1:430)len=430,2.7726145892633852e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:428)len=429,,,,,
7,,,,,,2.3591324210356937e-07,0.0,2.7742279816543688e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (1:428)len=428,2.7506366574440118e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (2:428)len=427,2.7742279816543688e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (1:428)len=428,,,,,
8,,,,,,5.554973240153407e-06,0.0,3.3061339814593525e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:429)len=430,2.7506366574440118e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (2:429)len=428,3.3061339814593525e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:429)len=430,,,,,
9,,,,,,5.327471479545508e-06,0.0,3.3080555939328205e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (1:429)len=429,2.7753084459782697e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (2:430)len=429,3.3080555939328205e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (1:429)len=429,,,,,
10,,,,,,5.6328470418494834e-05,4.3661007319982756e-06,3.4982649490714715e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (2:428)len=427,9.131111990920955e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (3:429)len=427,3.934875022271299e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (2:429)len=428,,,,,
11,,,,,,5.196236968649656e-05,3.1220286873271736e-05,3.934875022271299e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (2:429)len=428,9.131111990920955e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (3:430)len=428,7.056903709598473e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (3:430)len=428,,,,,
12,,,,,,2.074805870021019e-05,4.898111728570114e-06,7.056903709598473e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (3:430)len=428,9.131709579619492e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (3:427)len=425,7.546714882455484e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:427)len=428,,,,,
13,,,,,,1.5849946971640077e-05,0.014012924119966848,7.546714882455484e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (0:427)len=428,9.131709579619492e-05,(95702f71-d06f-4d9d-a989-9af9ca99c718)_(2): (3:428)len=426,0.014088391268791403,(ed0aae4f-d744-4a2a-ae1a-93d9662698fb)_(2): (3:430)len=428,,,,,
