,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,109.0,431.0,431.0,46979.0,21.0
1,2.6734180450439453,,,,,,,,,,,,,,,,,
2,,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (0:430)len=431,2.375805616378784,14.05229902267456,0.3635692596435547,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (1:430)len=430,0.0,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (1:429)len=429,0.0,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (0:430)len=431,,,,,
4,,,,,,0.0,0.0,0.0,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (0:430)len=431,0.0,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (0:429)len=430,0.0,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (1:430)len=430,,,,,
5,,,,,,1.0254897705914364e-06,0.0,1.0254897705914364e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (2:430)len=429,0.0,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (0:430)len=431,1.0254897705914364e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (2:430)len=429,,,,,
6,,,,,,9.558124848988745e-07,0.0,1.1267274466641138e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (0:429)len=430,1.709149617652394e-07,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (1:430)len=430,1.1267274466641138e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (0:429)len=430,,,,,
7,,,,,,5.877624104118093e-07,0.0,1.1280375948579093e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (0:428)len=429,1.7158000052697187e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (2:428)len=427,1.1280375948579093e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (1:429)len=429,,,,,
8,,,,,,5.877624104118093e-07,0.0,1.1280375948579093e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (1:429)len=429,1.7158000052697187e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (2:429)len=428,1.1280375948579093e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (0:428)len=429,,,,,
9,,,,,,7.54364396796504e-07,0.0,1.1293507934549501e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (1:428)len=428,1.8837151902514541e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (2:430)len=429,1.1293507934549501e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (1:428)len=428,,,,,
10,,,,,,4.43696204602592e-06,0.0,2.1560343821728025e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (2:429)len=428,6.592996428198722e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (0:428)len=429,2.1560343821728025e-06,(c8c67073-3e3b-42f7-a2e5-7d76e654e40c)_(2): (2:429)len=428,,,,,
