,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,62.0,601.0,601.0,37262.0,12.0
1,2.615765333175659,,,,,,,,,,,,,,,,,
2,,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:600)len=601,3.0114052295684814,19.05539608001709,0.34822678565979004,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:600)len=601,0.0,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:599)len=600,0.0,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:600)len=601,,,,,
4,,,,,,3.3850419693909373e-06,0.0,3.3850419693909373e-06,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:599)len=600,0.0,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:600)len=601,3.3850419693909373e-06,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:599)len=600,,,,,
5,,,,,,4.548606929723688e-06,3.387862837698394e-06,6.7757256753975255e-06,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (2:600)len=599,1.1324332605121214e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (2:598)len=597,1.016358851309592e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:598)len=599,,,,,
6,,,,,,1.1607440920252941e-06,3.4104862957134446e-06,1.016358851309592e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:598)len=599,1.1324332605121214e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (2:599)len=598,1.3574074808809364e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:596)len=597,,,,,
7,,,,,,1.168061419260255e-06,6.781376822749448e-06,1.0172065234124726e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (2:599)len=598,1.134012665338498e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (3:597)len=595,1.6953442056874174e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:597)len=598,,,,,
8,,,,,,1.1510654873738496e-06,6.778532345001038e-06,1.0189061166011131e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:595)len=596,1.134012665338498e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (3:598)len=596,1.696759351101217e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (4:600)len=597,,,,,
9,,,,,,1.4815837238945632e-05,4.063173059437029e-05,1.3574074808809364e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (0:596)len=597,2.8389912047754996e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (4:597)len=594,5.4205805403179655e-05,(6f55d13f-c351-44bf-b9f0-947dfc352ed6)_(3): (2:600)len=599,,,,,
