,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,17.0,601.0,601.0,10217.0,3.0
1,2.1039719581604004,,,,,,,,,,,,,,,,,
2,,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:600)len=601,1.580411434173584,10.38637113571167,0.35660576820373535,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:600)len=601,0.0,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:599)len=600,0.0,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:600)len=601,,,,,
4,,,,,,1.0648674588064437e-05,0.0,1.0648674588064437e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (2:600)len=599,0.0,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:600)len=601,1.0648674588064437e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (2:600)len=599,,,,,
5,,,,,,7.106022965047725e-06,0.0,1.06664520080779e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (4:600)len=597,1.7772474973125625e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (2:600)len=599,1.06664520080779e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (4:600)len=597,,,,,
6,,,,,,3.482388438875969e-06,0.0,2.1279616162660544e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:599)len=600,1.7797227723784575e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (2:598)len=597,2.1279616162660544e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:599)len=600,,,,,
7,,,,,,3.500121452344855e-06,0.0,2.129734917612943e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:598)len=599,1.7797227723784575e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (2:599)len=598,2.129734917612943e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:598)len=599,,,,,
8,,,,,,1.4150618134132338e-05,0.0,3.1972667653905454e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (2:599)len=598,1.7822049519773115e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (4:598)len=595,3.1972667653905454e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (2:599)len=598,,,,,
9,,,,,,1.4150618134132711e-05,0.0,3.1972667653905826e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:597)len=598,1.7822049519773115e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (4:599)len=596,3.1972667653905826e-05,(ff09e059-c9e4-4045-ba97-66768f72aab7)_(2): (0:597)len=598,,,,,
