,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,60.0,637.0,637.0,38220.0,12.0
1,8.506124258041382,,,,,,,,,,,,,,,,,
2,,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (0:636)len=637,2.8557472229003906,21.446224689483643,0.3983643054962158,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (62:634)len=573,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (38:611)len=574,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (1:636)len=636,,,,,
4,,,,,,0.0,0.0,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (64:636)len=573,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (36:612)len=577,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (0:635)len=636,,,,,
5,,,,,,0.0,0.0,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (58:631)len=574,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (36:613)len=578,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (1:635)len=635,,,,,
6,,,,,,0.0,0.0,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (62:635)len=574,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (34:613)len=580,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (4:636)len=633,,,,,
7,,,,,,0.0,0.0,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (58:632)len=575,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (34:614)len=581,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (0:633)len=634,,,,,
8,,,,,,0.0,0.0,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (62:636)len=575,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (32:615)len=584,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (0:634)len=635,,,,,
9,,,,,,0.0,0.0,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (56:631)len=576,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (30:616)len=587,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (1:633)len=633,,,,,
10,,,,,,0.0,0.0,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (58:633)len=576,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (30:617)len=588,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (0:636)len=637,,,,,
11,,,,,,0.0,0.0,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (60:635)len=576,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (28:617)len=590,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (0:632)len=633,,,,,
12,,,,,,0.0,0.0,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (56:632)len=577,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (28:618)len=591,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (1:634)len=634,,,,,
13,,,,,,0.0,0.001599425051879072,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (58:634)len=577,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (26:619)len=594,0.001599425051879072,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (2:634)len=633,,,,,
14,,,,,,0.0,0.001599425051879072,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (60:636)len=577,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (24:620)len=597,0.001599425051879072,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (2:636)len=635,,,,,
15,,,,,,0.0,0.001599425051879072,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (54:631)len=578,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (24:621)len=598,0.001599425051879072,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (2:635)len=634,,,,,
16,,,,,,0.0,0.0029326810582227386,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (56:633)len=578,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (22:621)len=600,0.0029326810582227386,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (3:635)len=633,,,,,
17,,,,,,0.0,0.0029326810582227386,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (58:635)len=578,0.0,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (22:622)len=601,0.0029326810582227386,(3d53d582-aa2a-4b8d-822b-398decc58ed3)_(1): (3:636)len=634,,,,,
18,,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (36:625)len=590,2.6982665061950684,20.88612651824951,0.43181395530700684,,,,,,,,,,,,,
19,,,,,,0.0,0.0,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (53:625)len=573,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (47:619)len=573,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (37:625)len=589,,,,,
20,,,,,,0.0,0.0,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (52:625)len=574,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (46:619)len=574,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (36:625)len=590,,,,,
21,,,,,,0.0,0.0,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (51:625)len=575,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (45:619)len=575,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (35:625)len=591,,,,,
22,,,,,,0.0,7.001899334351663e-05,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (50:625)len=576,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (45:620)len=576,7.001899334351663e-05,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (36:624)len=589,,,,,
23,,,,,,0.0,7.001899334351663e-05,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (49:625)len=577,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (44:620)len=577,7.001899334351663e-05,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (34:624)len=591,,,,,
24,,,,,,0.0,7.001899334351663e-05,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (48:625)len=578,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (44:621)len=578,7.001899334351663e-05,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (35:624)len=590,,,,,
25,,,,,,0.0,0.00010446870663674557,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (47:625)len=579,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (43:621)len=579,0.00010446870663674557,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (37:626)len=590,,,,,
26,,,,,,0.0,0.00010446870663674557,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (46:625)len=580,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (42:621)len=580,0.00010446870663674557,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (36:626)len=591,,,,,
27,,,,,,0.0,0.00012933809230542687,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (45:625)len=581,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (42:622)len=581,0.00012933809230542687,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (34:622)len=589,,,,,
28,,,,,,0.0,0.00012933809230542687,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (44:625)len=582,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (41:622)len=582,0.00012933809230542687,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (33:623)len=591,,,,,
29,,,,,,0.0,0.00012933809230542687,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (43:625)len=583,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (41:623)len=583,0.00012933809230542687,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (32:622)len=591,,,,,
30,,,,,,0.0,0.00012933809230542687,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (42:625)len=584,0.0,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (40:623)len=584,0.00012933809230542687,(9fcb905e-9cea-48a2-8c7c-804df281bee6)_(-1): (33:622)len=590,,,,,
