,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,70.0,319.0,319.0,22330.0,14.0
1,2.2291409969329834,,,,,,,,,,,,,,,,,
2,,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (0:318)len=319,0.754786491394043,3.724903106689453,0.379305362701416,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (29:315)len=287,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (19:305)len=287,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (1:318)len=318,,,,,
4,,,,,,0.0,0.0,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (30:316)len=287,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (19:306)len=288,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (0:317)len=318,,,,,
5,,,,,,0.0,0.0,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (31:317)len=287,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (18:306)len=289,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (4:318)len=315,,,,,
6,,,,,,0.0,0.0,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (32:318)len=287,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (17:306)len=290,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (2:316)len=315,,,,,
7,,,,,,0.0,0.0,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (28:315)len=288,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (17:307)len=291,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (1:315)len=315,,,,,
8,,,,,,0.0,0.0,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (29:316)len=288,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (16:307)len=292,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (3:317)len=315,,,,,
9,,,,,,0.0,0.0,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (30:317)len=288,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (16:308)len=293,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (0:315)len=316,,,,,
10,,,,,,0.0,0.0,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (31:318)len=288,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (15:308)len=294,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (3:318)len=316,,,,,
11,,,,,,0.0,0.0,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (27:315)len=289,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (14:308)len=295,0.0,(db561f69-6059-42da-8ba5-551cc900e93a)_(3): (1:317)len=317,,,,,
