,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,20.0,84.0,84.0,1680.0,4.0
1,2.071751117706299,,,,,,,,,,,,,,,,,
2,,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:83)len=84,0.12448000907897949,0.19355297088623047,0.35938382148742676,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:83)len=84,0.0,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:83)len=84,0.0,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:83)len=84,,,,,
4,,,,,,3.898547585779708e-06,0.0,5.675826632238105e-06,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:83)len=83,9.574374218017814e-06,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:82)len=82,5.675826632238105e-06,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:83)len=83,,,,,
5,,,,,,1.747333015373965e-05,0.0,2.7047704371757464e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:82)len=83,9.574374218017814e-06,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:83)len=83,2.7047704371757464e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:82)len=83,,,,,
6,,,,,,3.573608509895557e-05,0.0,3.2920660708838914e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:82)len=82,6.865674580779448e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (2:81)len=80,3.2920660708838914e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:82)len=82,,,,,
7,,,,,,2.812445008993991e-05,0.0,4.053229571785457e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (2:83)len=82,6.865674580779448e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (2:82)len=81,4.053229571785457e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (2:83)len=82,,,,,
8,,,,,,0.00010457909446225122,0.0,5.8115887891667255e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:80)len=81,0.00016269498235391846,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (2:83)len=82,5.8115887891667255e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:80)len=81,,,,,
9,,,,,,0.00010487114419107779,0.0,5.943265918880603e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:79)len=80,0.0001643038033798838,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (5:79)len=75,5.943265918880603e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:79)len=80,,,,,
10,,,,,,0.00010005389758897611,0.0,6.42499057909077e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:80)len=80,0.0001643038033798838,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (5:80)len=76,6.42499057909077e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:80)len=80,,,,,
11,,,,,,0.0001013814728389707,2.22466791047958e-06,6.592883341829227e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:77)len=78,0.00016731030625726298,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (4:80)len=77,6.815350132877185e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (2:82)len=81,,,,,
12,,,,,,9.915680492849113e-05,1.512521012668015e-05,6.815350132877185e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (2:82)len=81,0.00016731030625726298,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (4:81)len=78,8.3278711455452e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:81)len=82,,,,,
13,,,,,,0.00013130766851471575,1.857121612404967e-05,7.095683932557939e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:78)len=79,0.00020226450784029514,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (3:81)len=79,8.952805544962906e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:81)len=81,,,,,
14,,,,,,0.00018805873390202672,2.5712062848482427e-05,7.22256773996715e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:77)len=77,0.0002602844113016982,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (5:81)len=77,9.793774024815393e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (4:83)len=80,,,,,
15,,,,,,0.00018787785575941565,4.650045815776972e-05,7.240655554228257e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:79)len=79,0.0002602844113016982,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (5:82)len=78,0.00011890701370005229,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (3:83)len=81,,,,,
16,,,,,,0.0001850245775275673,4.8075046531520434e-05,7.724585097316792e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (1:78)len=78,0.0002622704285007352,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (4:82)len=79,0.00012532089750468835,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (2:81)len=80,,,,,
17,,,,,,0.00019731883628996974,6.708661416607946e-05,8.008792175216519e-05,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:76)len=77,0.00027740675804213493,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (0:81)len=82,0.00014717453591824465,(4983b45d-7d15-4da8-b1ac-18efcb255f97)_(2): (3:82)len=80,,,,,
18,,(e22da80c-133e-40b1-b1e8-267483984af2)_(1): (4:82)len=79,0.13616275787353516,0.20914888381958008,0.21015238761901855,,,,,,,,,,,,,
19,,,,,,0.0,0.0,0.0,(e22da80c-133e-40b1-b1e8-267483984af2)_(1): (4:82)len=79,0.0,(e22da80c-133e-40b1-b1e8-267483984af2)_(1): (4:82)len=79,0.0,(e22da80c-133e-40b1-b1e8-267483984af2)_(1): (4:82)len=79,,,,,
20,,,,,,1.7418142707022518e-05,0.0,1.1547361369460473e-05,(e22da80c-133e-40b1-b1e8-267483984af2)_(1): (4:81)len=78,2.896550407648299e-05,(e22da80c-133e-40b1-b1e8-267483984af2)_(1): (4:83)len=80,1.1547361369460473e-05,(e22da80c-133e-40b1-b1e8-267483984af2)_(1): (4:81)len=78,,,,,
21,,,,,,1.3953480573559466e-05,0.0,2.0276151458453598e-05,(e22da80c-133e-40b1-b1e8-267483984af2)_(1): (5:82)len=78,3.4229632032013064e-05,(e22da80c-133e-40b1-b1e8-267483984af2)_(1): (5:81)len=77,2.0276151458453598e-05,(e22da80c-133e-40b1-b1e8-267483984af2)_(1): (5:82)len=78,,,,,
