,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,30.0,570.0,570.0,17100.0,6.0
1,2.285198450088501,,,,,,,,,,,,,,,,,
2,,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:569)len=570,1.412590742111206,8.802396774291992,0.3715481758117676,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:569)len=570,0.0,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:569)len=570,0.0,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:569)len=570,,,,,
4,,,,,,6.541285074995989e-07,0.0,4.0776461576815744e-08,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:568)len=569,6.949049690764146e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:569)len=569,4.0776461576815744e-08,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:568)len=569,,,,,
5,,,,,,2.90789098466247e-06,0.0,9.224609709499871e-08,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:567)len=568,3.0001370817574686e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (2:568)len=567,9.224609709499871e-08,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:567)len=568,,,,,
6,,,,,,2.8910222377495954e-06,0.0,1.091148440078733e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:566)len=567,3.0001370817574686e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (2:569)len=568,1.091148440078733e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:566)len=567,,,,,
7,,,,,,8.207343114624433e-06,0.0,4.1669894107040484e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:569)len=569,8.624042055694838e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (3:567)len=565,4.1669894107040484e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:569)len=569,,,,,
8,,,,,,8.166164653572531e-06,0.0,4.57877402122306e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:568)len=568,8.624042055694838e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (3:568)len=566,4.57877402122306e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:568)len=568,,,,,
9,,,,,,1.759544813337035e-05,0.0,5.097591489650833e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:567)len=567,1.8105207282335434e-05,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (4:567)len=564,5.097591489650833e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:567)len=567,,,,,
10,,,,,,2.0029888636310398e-05,0.0,5.270102742219569e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:566)len=566,2.0556898910532355e-05,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (3:569)len=567,5.270102742219569e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:566)len=566,,,,,
11,,,,,,2.018195012372888e-05,0.0,5.4605447903588e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:565)len=566,2.0728004602764762e-05,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:568)len=569,5.4605447903588e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:565)len=566,,,,,
12,,,,,,2.0489618394811225e-05,8.332701216967922e-07,9.64703067897754e-07,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:565)len=565,2.145432146270898e-05,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:567)len=567,1.7979731895945462e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (2:569)len=568,,,,,
13,,,,,,2.0207097317286613e-05,5.931785630161444e-07,1.2472241454223663e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:564)len=565,2.145432146270898e-05,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:568)len=568,1.8404027084385107e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (2:568)len=567,,,,,
14,,,,,,2.2376789314396857e-05,4.769140827113437e-07,1.416633054835049e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:563)len=564,2.3793422369231906e-05,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (2:566)len=565,1.8935471375463927e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (2:567)len=566,,,,,
15,,,,,,2.212656214089542e-05,3.4984631137287583e-06,1.6668602283364877e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (1:564)len=564,2.3793422369231906e-05,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (2:567)len=566,5.165323342065246e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (3:569)len=567,,,,,
16,,,,,,2.7676667268450113e-05,3.431245543594164e-06,1.7795088839271189e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (0:562)len=563,2.945617615237723e-05,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (3:566)len=564,5.210754427521283e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (3:568)len=566,,,,,
17,,,,,,2.824369108212789e-05,9.039650887859763e-06,1.7979731895945462e-06,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (2:569)len=568,3.0041664271722436e-05,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (4:568)len=565,1.0837624077454309e-05,(23ff57c9-cc9c-43d8-aae6-20be493bedc3)_(4): (4:569)len=566,,,,,
18,,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:565)len=530,1.311615228652954,10.303591251373291,0.28903961181640625,,,,,,,,,,,,,
19,,,,,,0.0,0.0,0.0,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:565)len=530,0.0,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:565)len=530,0.0,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:565)len=530,,,,,
20,,,,,,1.2927167501401414e-07,0.0,1.2927167501401414e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:566)len=531,0.0,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:566)len=531,1.2927167501401414e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:566)len=531,,,,,
21,,,,,,3.00367893826372e-07,1.1379552435612472e-07,1.6562300067596734e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:567)len=532,4.659908945023393e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (37:565)len=529,2.7941852503209206e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (37:565)len=529,,,,,
22,,,,,,2.731832140836721e-07,1.0506033316066209e-07,1.9354268182955417e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:568)len=533,4.667258959132263e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (38:564)len=527,2.9860301499021626e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:564)len=529,,,,,
23,,,,,,2.369606230628274e-07,1.7878327922399215e-07,2.2976527285039887e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (36:569)len=534,4.667258959132263e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (38:565)len=528,4.08548552074391e-07,(f5fbaf8e-bb51-4e29-84b5-05a771c8a56e)_(1): (37:566)len=530,,,,,
