,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,180.0,144.0,144.0,25920.0,36.0
1,2.2484304904937744,,,,,,,,,,,,,,,,,
2,,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (0:143)len=144,0.41565847396850586,1.5219948291778564,0.3619673252105713,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (0:143)len=144,0.0,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (0:143)len=144,0.0,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (0:143)len=144,,,,,
4,,,,,,3.1615015509360646e-06,0.0,4.6604893552592e-06,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (1:143)len=143,7.821990906195264e-06,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (1:142)len=142,4.6604893552592e-06,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (1:143)len=143,,,,,
5,,,,,,3.161501550935968e-06,0.0,4.660489355259296e-06,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (0:142)len=143,7.821990906195264e-06,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (1:143)len=143,4.660489355259296e-06,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (0:142)len=143,,,,,
6,,,,,,1.4112403173415622e-05,0.0,9.353569545170659e-06,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (1:142)len=142,2.346597271858628e-05,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (0:141)len=142,9.353569545170659e-06,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (1:142)len=142,,,,,
7,,,,,,9.38638908743461e-06,9.304340231775122e-06,1.4079583631151671e-05,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (3:143)len=141,2.346597271858628e-05,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (0:142)len=143,2.3383923862926793e-05,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (2:143)len=142,,,,,
8,,,,,,4.904797031270406e-06,2.325218344679763e-05,1.883887950647058e-05,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (3:142)len=140,2.3743676537740986e-05,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (3:141)len=139,4.209106295326821e-05,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (0:141)len=142,,,,,
9,,,,,,8.08808660670641e-06,0.013232860160473167,2.3383923862926793e-05,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (2:143)len=142,3.14720104696332e-05,(9ef5784e-86dc-4fad-bd99-01f8d9be5e45)_(2): (1:140)len=140,0.013256244084336094,(ca3dd644-6402-4ed9-b4c8-455e8a514a7d)_(2): (2:143)len=142,,,,,
