,cluster_time,query,bf_time,paa_time,gx_time,dist_diff_btw_paa_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,,,,,,,,,,,,,,100.0,275.0,275.0,27500.0,20.0
1,2.2161669731140137,,,,,,,,,,,,,,,,,
2,,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:274)len=275,0.8287429809570312,4.139490365982056,0.3736855983734131,,,,,,,,,,,,,
3,,,,,,0.0,0.0,0.0,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:274)len=275,0.0,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:274)len=275,0.0,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:274)len=275,,,,,
4,,,,,,1.904673316858107e-05,0.0,2.026944556154617e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:273)len=274,1.2227123929650986e-06,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:273)len=274,2.026944556154617e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:273)len=274,,,,,
5,,,,,,1.5710941666292831e-06,0.0,3.0267452902617157e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (2:274)len=273,2.8696358735987873e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:271)len=272,3.0267452902617157e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (2:274)len=273,,,,,
6,,,,,,8.842153789427463e-06,3.3531407332087237e-06,3.7538512525415336e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:271)len=272,2.8696358735987873e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:272)len=273,3.418537179220661e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (3:274)len=272,,,,,
7,,,,,,6.207135938186072e-06,1.0644272008619271e-07,3.764495524550153e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (4:274)len=271,3.143781930731546e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:268)len=269,3.7538512525415336e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:271)len=272,,,,,
8,,,,,,6.438959341797484e-06,0.0,4.193959837393481e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:272)len=273,3.550063903213733e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:269)len=270,4.193959837393481e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:272)len=273,,,,,
9,,,,,,9.681263959891153e-06,5.484440342382942e-06,4.518190299202848e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:270)len=271,3.550063903213733e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (0:270)len=271,5.0666343334411424e-05,(5bf0db74-3620-4957-8add-77a4b5160779)_(2): (2:273)len=272,,,,,
