,cluster_time,query,gx_time,bf_time,diff,gx_dist,gx_match,bf_dist,bf_match,num_rows,num_cols_max
0,,,,,,,,,,390.0,
1,,,,,,,,,,,301.0
2,95.5425443649292,,,,,,,,,,
3,,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:300)len=301,0.4081587791442871,18.7317156791687,,,,,,,
4,,,,,0.0,0.0,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:300)len=301,0.0,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:300)len=301,,
5,,,,,0.0,1.7805992243571028e-06,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:299)len=300,1.7805992243571028e-06,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:299)len=300,,
6,,,,,0.0065356827673535576,0.006539469435552177,(4c770b2d-20d8-4960-b7cf-f4673a01f9e1): (0:300)len=301,3.7866681986189864e-06,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:298)len=299,,
7,,,,,0.006513881659683397,0.006540025061027813,(4c770b2d-20d8-4960-b7cf-f4673a01f9e1): (0:299)len=300,2.6143401344414913e-05,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:297)len=298,,
8,,,,,0.006701514638960682,0.0067412302297475,(42f424af-6169-4752-b05c-09a37e16e4c0): (0:299)len=300,3.971559078681776e-05,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:296)len=297,,
9,,,,,0.006268181006704594,0.006746382477681201,(42f424af-6169-4752-b05c-09a37e16e4c0): (0:300)len=301,0.0004782014709766069,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:293)len=294,,
10,,,,,0.006678470900051374,0.007159372560878941,(cb86f5b9-1120-440b-8c1d-f935c784392e): (0:300)len=301,0.00048090166082756676,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:295)len=296,,
11,,,,,0.006675690191240179,0.007161759652704035,(cb86f5b9-1120-440b-8c1d-f935c784392e): (0:299)len=300,0.00048606946146385606,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:294)len=295,,
12,,,,,0.006605952535614071,0.007247067120390771,(09c73f76-3dd6-43e3-9641-21a333d1823c): (0:299)len=300,0.0006411145847767002,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:280)len=281,,
13,,,,,0.0066035653153276065,0.00724847936571446,(09c73f76-3dd6-43e3-9641-21a333d1823c): (0:300)len=301,0.0006449140503868539,(6d5795ac-24bc-4ebd-a894-e34c83691d97): (0:281)len=282,,
