,cluster_time,query,gx_time,bf_time,diff,gx_dist,gx_match,bf_dist,bf_match,num_rows,num_cols_max
0,,,,,,,,,,104.0,
1,,,,,,,,,,,2001.0
2,23.80906629562378,,,,,,,,,,
3,,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:2000)len=2001,2.8903329372406006,1095.9248723983765,,,,,,,
4,,,,,0.0,0.0,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:2000)len=2001,0.0,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:2000)len=2001,,
5,,,,,0.0,4.006595809599725e-06,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1999)len=2000,4.006595809599725e-06,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1999)len=2000,,
6,,,,,0.00039301142218318936,0.00039701851878596765,(36183e03-e0c4-4cd5-b38c-c85dd9dad226): (0:1999)len=2000,4.0070966027783075e-06,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1998)len=1999,,
7,,,,,0.00039086758849614964,0.000397780924594329,(36183e03-e0c4-4cd5-b38c-c85dd9dad226): (0:2000)len=2001,6.913336098179407e-06,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1996)len=1997,,
8,,,,,0.0009499388159998188,0.0009574178161347702,(74342e55-362d-4ed0-bc21-b0584fab7417): (0:2000)len=2001,7.4790001349514685e-06,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1993)len=1994,,
9,,,,,0.0009500229201230883,0.0009575247114952644,(74342e55-362d-4ed0-bc21-b0584fab7417): (0:1999)len=2000,7.501791372176096e-06,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1997)len=1998,,
10,,,,,0.0013375638764255703,0.001345345618364277,(c23537d4-c0e5-4b8e-82c3-e0fb27cc5d25): (0:1999)len=2000,7.781741938706831e-06,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1995)len=1996,,
11,,,,,0.0013527218052991358,0.0013605045208683673,(c23537d4-c0e5-4b8e-82c3-e0fb27cc5d25): (0:2000)len=2001,7.782715569231594e-06,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1994)len=1995,,
12,,,,,0.001756939718338328,0.0017769491685104225,(ca479928-e7f1-47bf-bb77-82884db3ae94): (0:1999)len=2000,2.0009450172094478e-05,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1987)len=1988,,
13,,,,,0.0017566637234232773,0.0017769611427388332,(ca479928-e7f1-47bf-bb77-82884db3ae94): (0:2000)len=2001,2.02974193155559e-05,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1988)len=1989,,
14,,,,,0.001967059378318145,0.0019879707145716787,(759c0cf5-792c-45fe-8d92-949feec2e6b9): (0:2000)len=2001,2.091133625353364e-05,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1989)len=1990,,
15,,,,,0.0019670713145464604,0.0019880762854630096,(759c0cf5-792c-45fe-8d92-949feec2e6b9): (0:1999)len=2000,2.1004970916549135e-05,(83bb77d9-c769-417f-9a02-6a3c662f04ac): (0:1992)len=1993,,
