,cluster_time,query,gx_time,bf_time,diff,gx_dist,gx_match,bf_dist,bf_match,num_rows,num_cols_max
0,,,,,,,,,,300.0,
1,,,,,,,,,,,1501.0
2,42.52875876426697,,,,,,,,,,
3,,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (0:1500)len=1501,3.8944432735443115,1086.761555671692,,,,,,,
4,,,,,0.0,0.0,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (0:1500)len=1501,0.0,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (0:1500)len=1501,,
5,,,,,0.00033113820710899204,0.000388005078291393,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (0:1499)len=1500,5.686687118240096e-05,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (4:1500)len=1497,,
6,,,,,0.0038991686148077626,0.004046747844132698,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (1:1500)len=1500,0.00014757922932493502,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (16:1500)len=1485,,
7,,,,,0.00912620427221772,0.0092740208598517,(45e39294-b67e-4ee4-b18f-be9b59205bc4): (0:1499)len=1500,0.0001478165876339802,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (12:1500)len=1489,,
8,,,,,0.009135432802357991,0.009307010862182323,(d3ce0e86-bd9f-4e66-bc72-10f6caf57664): (1:1500)len=1500,0.00017157805982433237,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (20:1500)len=1481,,
9,,,,,0.009223107989787318,0.009410210648264332,(ba874598-70a8-45b4-ad46-3b9c2a56693f): (0:1499)len=1500,0.00018710265847701326,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (36:1500)len=1465,,
10,,,,,0.009246204112355655,0.009438902796618617,(ba874598-70a8-45b4-ad46-3b9c2a56693f): (0:1500)len=1501,0.0001926986842629625,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (32:1500)len=1469,,
11,,,,,0.009242976927647882,0.009442102821621981,(45e39294-b67e-4ee4-b18f-be9b59205bc4): (0:1500)len=1501,0.0001991258939741,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (28:1500)len=1473,,
12,,,,,0.009356788914198284,0.009568686136097605,(5892fe36-2b95-4221-9683-7464a2ec1348): (1:1500)len=1500,0.00021189722189932073,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (52:1500)len=1449,,
13,,,,,0.009359908680532004,0.009572043650515767,(f795e9a5-db91-456f-b93d-8294f8729f9a): (0:1499)len=1500,0.00021213496998376242,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (44:1500)len=1457,,
14,,,,,0.009357118276011052,0.009575615819668053,(f795e9a5-db91-456f-b93d-8294f8729f9a): (1:1500)len=1500,0.0002184975436570014,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (48:1500)len=1453,,
15,,,,,0.009392439631057452,0.009620262028248713,(f795e9a5-db91-456f-b93d-8294f8729f9a): (0:1500)len=1501,0.00022782239719126087,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (60:1500)len=1441,,
16,,,,,0.009435450022545463,0.00967432525478666,(d3ce0e86-bd9f-4e66-bc72-10f6caf57664): (0:1499)len=1500,0.00023887523224119586,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (64:1500)len=1437,,
17,,,,,0.00945690482059577,0.009698245414838167,(45e39294-b67e-4ee4-b18f-be9b59205bc4): (1:1500)len=1500,0.00024134059424239576,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (68:1500)len=1433,,
18,,,,,0.009429495356955146,0.009712164065629834,(d3ce0e86-bd9f-4e66-bc72-10f6caf57664): (0:1500)len=1501,0.0002826687086746874,(d4259b8a-46f9-4efd-9338-4a42ff77eaa2): (76:1500)len=1425,,
19,,,,,0.0077328225752119,,,,,,
20,,(c629d051-e2b5-41e7-97a4-a2b190802436): (0:1500)len=1501,2.4815893173217773,1105.6047415733337,,,,,,,
21,,,,,0.0,0.0,(c629d051-e2b5-41e7-97a4-a2b190802436): (0:1500)len=1501,0.0,(c629d051-e2b5-41e7-97a4-a2b190802436): (0:1500)len=1501,,
22,,,,,7.958827341007096e-05,0.0005870584111679664,(c629d051-e2b5-41e7-97a4-a2b190802436): (0:1499)len=1500,0.0005074701377578955,(c629d051-e2b5-41e7-97a4-a2b190802436): (0:1496)len=1497,,
23,,,,,0.005816706842256976,0.0063739308689803355,(c629d051-e2b5-41e7-97a4-a2b190802436): (1:1500)len=1500,0.0005572240267233597,(c629d051-e2b5-41e7-97a4-a2b190802436): (0:1498)len=1499,,
