,cluster_time,query,gx_time,bf_time,diff,gx_dist,gx_match,bf_dist,bf_match,num_rows,num_cols_max
0,,,,,,,,,,20.0,
1,,,,,,,,,,,513.0
2,2.6946640014648438,,,,,,,,,,
3,,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (0:512)len=513,0.21067380905151367,3.4314932823181152,,,,,,,
4,,,,,0.0,0.0,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (0:512)len=513,0.0,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (0:512)len=513,,
5,,,,,0.0,1.5166589323080316e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (1:512)len=512,1.5166589323080316e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (1:512)len=512,,
6,,,,,0.0,1.5181400445466136e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (2:512)len=511,1.5181400445466136e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (2:512)len=511,,
7,,,,,0.0,2.2345505059036853e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (0:511)len=512,2.2345505059036853e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (0:511)len=512,,
8,,,,,0.0,3.7548727286787205e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (1:511)len=511,3.7548727286787205e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (1:511)len=511,,
9,,,,,0.0,3.7585431810039196e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (2:511)len=510,3.7585431810039196e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (2:511)len=510,,
10,,,,,0.0,6.670527611814313e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (0:510)len=511,6.670527611814313e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (0:510)len=511,,
11,,,,,0.0,7.110474624197135e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (3:512)len=510,7.110474624197135e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (3:512)len=510,,
12,,,,,0.0,8.196672219074867e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (1:510)len=510,8.196672219074867e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (1:510)len=510,,
13,,,,,3.263054432826709e-05,0.00011467746879121806,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (0:509)len=510,8.204692446295097e-05,(87999e30-63b3-4262-88ce-1eae7d0dc4d3): (2:510)len=509,,
