,cluster_time,query,gx_time,bf_time,diff,gx_dist,gx_match,bf_dist,bf_match,num_rows,num_cols_max
0,,,,,,,,,,20.0,
1,,,,,,,,,,,513.0
2,2.300774097442627,,,,,,,,,,
3,,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:512)len=513,0.21044015884399414,3.153707265853882,,,,,,,
4,,,,,0.0,0.0,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:512)len=513,0.0,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:512)len=513,,
5,,,,,0.0,3.6521861406905085e-06,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:511)len=512,3.6521861406905085e-06,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:511)len=512,,
6,,,,,0.0,3.6557527287185265e-06,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:510)len=511,3.6557527287185265e-06,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:510)len=511,,
7,,,,,0.0,3.0653960626917875e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:509)len=510,3.0653960626917875e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:509)len=510,,
8,,,,,5.690896146322061e-06,7.42351634583181e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (1:512)len=512,6.854426731199604e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:507)len=508,,
9,,,,,9.067813584848837e-06,7.796341146385139e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (1:511)len=511,6.889559787900256e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:508)len=509,,
10,,,,,3.8044585739241605e-06,7.803962203224226e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (1:510)len=510,7.42351634583181e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (1:512)len=512,,
11,,,,,1.433205155992534e-05,9.143422875586608e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (2:512)len=511,7.710217719594074e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:506)len=507,,
12,,,,,1.7963769171334946e-05,9.518293356814725e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (2:511)len=510,7.72191643968123e-05,(c9bc56f5-bc1a-428a-bbf9-324eafb32c00): (0:505)len=506,,
