,cluster_time,query,gx_time,bf_time,diff,gx_dist,gx_match,bf_dist,bf_match,num_rows,num_cols_max
0,,,,,,,,,,400.0,
1,,,,,,,,,,,81.0
2,3.1439273357391357,,,,,,,,,,
3,,(a603b8ce-3a17-4a29-af4d-5b5d2f8a6295): (0:80)len=81,0.20717382431030273,0.8199467658996582,,,,,,,
4,,,,,0.0,0.0,(a603b8ce-3a17-4a29-af4d-5b5d2f8a6295): (0:80)len=81,0.0,(a603b8ce-3a17-4a29-af4d-5b5d2f8a6295): (0:80)len=81,,
5,,,,,0.0,2.895152173245276e-05,(a603b8ce-3a17-4a29-af4d-5b5d2f8a6295): (0:79)len=80,2.895152173245276e-05,(a603b8ce-3a17-4a29-af4d-5b5d2f8a6295): (0:79)len=80,,
6,,,,,0.0035223960633010195,0.003973796066694202,(361d0353-c067-49b8-a5d9-b73b0bb6a7ec): (0:80)len=81,0.0004514000033931825,(a603b8ce-3a17-4a29-af4d-5b5d2f8a6295): (0:78)len=79,,
7,,,,,0.003083264378780446,0.004058613017554685,(361d0353-c067-49b8-a5d9-b73b0bb6a7ec): (0:79)len=80,0.000975348638774239,(a603b8ce-3a17-4a29-af4d-5b5d2f8a6295): (0:77)len=78,,
8,,,,,0.00229213671098812,0.004241174861718411,(2c078eb7-ee5b-44bf-b572-bb8456b8414b): (0:80)len=81,0.001949038150730291,(a603b8ce-3a17-4a29-af4d-5b5d2f8a6295): (0:76)len=77,,
9,,,,,0.0017468277712130303,0.00444896545963543,(464c1ee7-39c5-4616-87fc-75a5c484e159): (0:80)len=81,0.0027021376884223992,(a603b8ce-3a17-4a29-af4d-5b5d2f8a6295): (1:80)len=80,,
10,,,,,0.0017352751807418682,0.004454301229716908,(464c1ee7-39c5-4616-87fc-75a5c484e159): (0:79)len=80,0.0027190260489750396,(a603b8ce-3a17-4a29-af4d-5b5d2f8a6295): (2:80)len=79,,
