,cluster_time,query,gx_time,bf_time,diff,gx_dist,gx_match,bf_dist,bf_match,num_rows,num_cols_max
0,,,,,,,,,,20.0,
1,,,,,,,,,,,2845.0
2,10.786385774612427,,,,,,,,,,
3,,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2844)len=2845,1.1324150562286377,482.6256136894226,,,,,,,
4,,,,,0.0,0.0,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2844)len=2845,0.0,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2844)len=2845,,
5,,,,,0.0,4.0462797586069813e-07,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2843)len=2844,4.0462797586069813e-07,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2843)len=2844,,
6,,,,,0.0,1.5618665505648198e-06,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2842)len=2843,1.5618665505648198e-06,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2842)len=2843,,
7,,,,,0.0,3.5222915469260863e-06,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2841)len=2842,3.5222915469260863e-06,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2841)len=2842,,
8,,,,,8.144439917037333e-06,1.414935743319671e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (1:2844)len=2844,6.004917516159377e-06,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2840)len=2841,,
9,,,,,5.734245843770735e-06,1.4265117846847837e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (3:2844)len=2842,8.530872003077101e-06,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2839)len=2840,,
10,,,,,3.729975948733159e-06,1.4314734574087266e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (2:2844)len=2843,1.0584758625354107e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2838)len=2839,,
11,,,,,2.6010174490150325e-06,1.455654412660471e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (1:2843)len=2843,1.1955526677589677e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2837)len=2838,,
12,,,,,1.935989367813596e-06,1.4722021946910476e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (2:2843)len=2842,1.278603257909688e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2830)len=2831,,
13,,,,,2.8434210953014198e-06,1.5716474657476484e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (1:2842)len=2842,1.2873053562175064e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2831)len=2832,,
14,,,,,0.007818674590132288,0.007831630962555682,(03c59f78-0fa4-4283-9dc2-0d16c07b6269): (3:2843)len=2841,1.2956372423394296e-05,(3e60a426-3aa7-4e6b-b02c-98f7fe8b82b6): (0:2832)len=2833,,
