,cluster_time,query,gx_time,bf_time,diff,gx_dist,gx_match,bf_dist,bf_match,num_rows,num_cols_max
0,,,,,,,,,,20.0,
1,,,,,,,,,,,71.0
2,2.0576348304748535,,,,,,,,,,
3,,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:70)len=71,0.18262648582458496,0.07480287551879883,,,,,,,
4,,,,,0.0,0.0,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:69)len=70,0.0,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:69)len=70,,
5,,,,,0.0,0.0,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:70)len=71,0.0,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:70)len=71,,
6,,,,,0.0,0.00046522894935281705,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:68)len=69,0.00046522894935281705,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:68)len=69,,
7,,,,,0.0,0.0012466302369673625,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (1:70)len=70,0.0012466302369673625,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (1:70)len=70,,
8,,,,,0.0,0.0012555347386599865,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (1:69)len=69,0.0012555347386599865,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (1:69)len=69,,
9,,,,,0.0,0.001535838847326527,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (2:70)len=69,0.001535838847326527,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (2:70)len=69,,
10,,,,,0.0,0.0015468880476670055,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (2:69)len=68,0.0015468880476670055,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (2:69)len=68,,
11,,,,,0.0,0.0017331432828905937,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (1:68)len=68,0.0017331432828905937,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (1:68)len=68,,
12,,,,,0.0,0.0018743036775182055,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:67)len=68,0.0018743036775182055,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:67)len=68,,
13,,,,,0.001767594233501008,0.003655479821725867,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (3:70)len=68,0.0018878855882248592,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:66)len=67,,
14,,,,,0.014087839868395657,0.01598950564339588,(56d500c8-cd82-4158-a918-662e83f233fc): (1:70)len=70,0.001901665775000223,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:65)len=66,,
15,,,,,0.014086699788280836,0.016016538388435267,(56d500c8-cd82-4158-a918-662e83f233fc): (0:70)len=71,0.0019298386001544304,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:63)len=64,,
16,,,,,0.014074158146675635,0.016018398527428233,(84ae31b9-a0c0-4e34-8615-405c8b0f953f): (0:70)len=71,0.001944240380752598,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:62)len=63,,
17,,,,,0.014073647618751649,0.016103716397991564,(56d500c8-cd82-4158-a918-662e83f233fc): (1:69)len=69,0.0020300687792399142,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (2:68)len=67,,
18,,,,,0.013735570096215968,0.016130130859275234,(56d500c8-cd82-4158-a918-662e83f233fc): (0:69)len=70,0.002394560763059266,(53cd27ac-8707-40d0-bdcc-dc48142723f5): (0:64)len=65,,
19,,,,,0.004788367316788051,,,,,,
20,,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (0:70)len=71,0.20253896713256836,0.06571173667907715,,,,,,,
21,,,,,0.0,0.0,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (0:70)len=71,0.0,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (0:69)len=70,,
22,,,,,0.0,0.0,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (0:69)len=70,0.0,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (0:70)len=71,,
23,,,,,0.0,0.0002173514524206309,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (1:70)len=70,0.0002173514524206309,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (1:70)len=70,,
24,,,,,0.0,0.00021890396279506397,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (1:69)len=69,0.00021890396279506397,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (1:69)len=69,,
25,,,,,0.0,0.0004643235182241523,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (0:68)len=69,0.0004643235182241523,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (0:68)len=69,,
26,,,,,0.0,0.00046766397518979366,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (0:67)len=68,0.00046766397518979366,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (0:67)len=68,,
27,,,,,0.0,0.0006881427866380596,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (1:68)len=68,0.0006881427866380596,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (1:68)len=68,,
28,,,,,0.00025555184325293777,0.0009486811718231572,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (3:70)len=68,0.0006931293285702194,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (1:67)len=67,,
29,,,,,0.0002253854650276242,0.0011740666368507814,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (2:70)len=69,0.0009486811718231572,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (3:70)len=68,,
30,,,,,0.00022695748634980067,0.0011825131594180532,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (2:69)len=68,0.0009555556730682526,(e82f2352-52ec-41e1-b001-3b9b3fb806fe): (3:69)len=67,,
