,cluster_time,query,gx_time,bf_time,diff,gx_dist,gx_match,bf_dist,bf_match,num_rows,num_cols_max
0,,,,,,,,,,100.0,
1,,,,,,,,,,,276.0
2,3.195063352584839,,,,,,,,,,
3,,(fff836f3-0e52-4940-887f-8d7f73700341): (0:275)len=276,0.2237405776977539,3.2288501262664795,,,,,,,
4,,,,,0.0,0.0,(fff836f3-0e52-4940-887f-8d7f73700341): (0:275)len=276,0.0,(fff836f3-0e52-4940-887f-8d7f73700341): (0:275)len=276,,
5,,,,,0.0,2.011426852791063e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:274)len=275,2.011426852791063e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:274)len=275,,
6,,,,,0.0005362770242862719,0.0005735276584052701,(fff836f3-0e52-4940-887f-8d7f73700341): (1:275)len=275,3.725063411899816e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:272)len=273,,
7,,,,,0.001942537077596934,0.0019841553228275807,(baab3041-f656-4ef2-a18b-4a8f9f4c3c4f): (0:275)len=276,4.161824523064683e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:273)len=274,,
8,,,,,0.001944016883708008,0.001988851992891402,(baab3041-f656-4ef2-a18b-4a8f9f4c3c4f): (0:274)len=275,4.4835109183394144e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:271)len=272,,
9,,,,,0.0020101296794252013,0.0020698313580458493,(c6b03511-edf2-4159-8f41-e7ed4356ae8c): (0:275)len=276,5.9701678620647865e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:267)len=268,,
10,,,,,0.0020192708516876957,0.0020801045474981177,(c6b03511-edf2-4159-8f41-e7ed4356ae8c): (0:274)len=275,6.083369581042186e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:269)len=270,,
11,,,,,0.0020630928766199033,0.0021269890110677224,(3b335634-1cce-44da-b154-a66cb1471c68): (0:275)len=276,6.389613444781933e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:270)len=271,,
12,,,,,0.0020677167125273204,0.002137973385037103,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:275)len=276,7.025667250978245e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:268)len=269,,
13,,,,,0.0020690981031653397,0.002146408961630569,(a7587487-43b0-4fd4-a25a-77de30dffd4e): (0:274)len=275,7.731085846522918e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:265)len=266,,
14,,,,,0.0020637672373243045,0.0021475951573373337,(3b335634-1cce-44da-b154-a66cb1471c68): (0:274)len=275,8.382792001302938e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:264)len=265,,
15,,,,,0.0020684658570013555,0.0021532822442146687,(a7587487-43b0-4fd4-a25a-77de30dffd4e): (0:275)len=276,8.481638721331328e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:263)len=264,,
16,,,,,0.002074103398396734,0.002159845084218731,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:274)len=275,8.574168582199734e-05,(fff836f3-0e52-4940-887f-8d7f73700341): (0:266)len=267,,
17,,,,,0.002199374627307832,0.0023331454412778853,(a588aaa7-ce32-41aa-873c-9011b73dcb69): (0:274)len=275,0.00013377081397005343,(fff836f3-0e52-4940-887f-8d7f73700341): (0:260)len=261,,
18,,,,,0.0021990817824083285,0.002340890145718197,(a588aaa7-ce32-41aa-873c-9011b73dcb69): (0:275)len=276,0.0001418083633098683,(fff836f3-0e52-4940-887f-8d7f73700341): (0:259)len=260,,
19,,,,,0.0016837954740970148,,,,,,
20,,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:275)len=276,0.16033625602722168,3.201326847076416,,,,,,,
21,,,,,0.0,0.0,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:275)len=276,0.0,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:275)len=276,,
22,,,,,0.0,1.799152969880188e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:274)len=275,1.799152969880188e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:274)len=275,,
23,,,,,0.0003530066686633522,0.0003710309102343337,(43cb1b45-61f8-405c-8e01-626b60a32f37): (1:275)len=275,1.802424157098152e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:273)len=274,,
24,,,,,0.0020870702956540224,0.002113220422439316,(91148822-2b5d-4a23-823f-4dd7a7caf3c7): (0:275)len=276,2.6150126785293387e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:272)len=273,,
25,,,,,0.0020944224474543347,0.0021285230975673823,(91148822-2b5d-4a23-823f-4dd7a7caf3c7): (0:274)len=275,3.410065011304744e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:271)len=272,,
26,,,,,0.00210091545957207,0.0021369650805886874,(fff836f3-0e52-4940-887f-8d7f73700341): (0:275)len=276,3.6049621016617484e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:270)len=271,,
27,,,,,0.002087644616640238,0.0021410412886167917,(e0d1f22b-ace0-4a38-b361-53c9b3d17786): (0:275)len=276,5.339667197655378e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:269)len=270,,
28,,,,,0.0020882361036056387,0.0021590924752341164,(fff836f3-0e52-4940-887f-8d7f73700341): (0:274)len=275,7.085637162847761e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:265)len=266,,
29,,,,,0.0021126538217195907,0.0021885112510913085,(3b335634-1cce-44da-b154-a66cb1471c68): (0:275)len=276,7.585742937171797e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:264)len=265,,
30,,,,,0.002113878340155849,0.0021926829133455256,(baab3041-f656-4ef2-a18b-4a8f9f4c3c4f): (0:275)len=276,7.880457318967677e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:266)len=267,,
31,,,,,0.002111374112155438,0.0021936383992297815,(baab3041-f656-4ef2-a18b-4a8f9f4c3c4f): (0:274)len=275,8.22642870743432e-05,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:263)len=264,,
32,,,,,0.002102573240113209,0.0022044139638162956,(3b335634-1cce-44da-b154-a66cb1471c68): (0:274)len=275,0.00010184072370308632,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:267)len=268,,
33,,,,,0.002103353547941335,0.002206553976631185,(e0d1f22b-ace0-4a38-b361-53c9b3d17786): (0:274)len=275,0.00010320042868985021,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:268)len=269,,
34,,,,,0.0021658092583884824,0.0022979060073724266,(a7587487-43b0-4fd4-a25a-77de30dffd4e): (0:274)len=275,0.00013209674898394415,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:262)len=263,,
35,,,,,0.0021771623285603706,0.002312367618072205,(a7587487-43b0-4fd4-a25a-77de30dffd4e): (0:275)len=276,0.00013520528951183465,(43cb1b45-61f8-405c-8e01-626b60a32f37): (0:261)len=262,,
36,,,,,0.0017132066827082622,,,,,,
37,,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:275)len=276,0.15453720092773438,3.285064935684204,,,,,,,
38,,,,,0.0,0.0,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:275)len=276,0.0,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:275)len=276,,
39,,,,,0.0,1.6134172799876115e-05,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:274)len=275,1.6134172799876115e-05,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:274)len=275,,
40,,,,,0.00014726842141373923,0.00016859923192020897,(cc220c7d-6237-4a55-bf50-17a315831e35): (1:275)len=275,2.1330810506469727e-05,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:273)len=274,,
41,,,,,0.0019460746609033907,0.001970540819213808,(a3abe4a6-81f2-4e6c-9951-cf6b7e2865e0): (0:274)len=275,2.4466158310417454e-05,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:272)len=273,,
42,,,,,0.001920960865492309,0.001974017148804054,(a3abe4a6-81f2-4e6c-9951-cf6b7e2865e0): (0:275)len=276,5.305628331174473e-05,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:271)len=272,,
43,,,,,0.0019460182960142492,0.0020236265948900436,(0931cf48-fc74-4c34-9713-e7cad492eb20): (0:275)len=276,7.760829887579447e-05,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:267)len=268,,
44,,,,,0.0019535689238937646,0.0020314013202377113,(a3abe4a6-81f2-4e6c-9951-cf6b7e2865e0): (1:275)len=275,7.78323963439469e-05,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:270)len=271,,
45,,,,,0.001960955712514188,0.002038930659034589,(0931cf48-fc74-4c34-9713-e7cad492eb20): (0:274)len=275,7.797494652040102e-05,(cc220c7d-6237-4a55-bf50-17a315831e35): (0:269)len=270,,
